Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer_Brand,Post_Type
2024-03-05,YouTube,Positive,Denpasar,3415,Video,@drinkculture | SwizzleSip,Product Launch
2024-03-02,X/Twitter,Positive,Medan,4849,Carousel,@tastebuds.id | SwizzleSip,Behind the Scenes
2024-03-26,X/Twitter,Positive,Jakarta,2483,Video,@kulinerhits | SwizzleSip,Review
2024-03-09,YouTube,Positive,Bandung,7918,Text,@tastebuds.id | SwizzleSip,Promo
2024-03-30,X/Twitter,Positive,Denpasar,13059,Video,@snackattack | SwizzleSip,Product Launch
2024-03-29,TikTok,Neutral,Makassar,537,Video,@kulinerhits | SwizzleSip,Product Launch
2024-03-04,YouTube,Positive,Bandung,7201,Carousel,@tastebuds.id | SwizzleSip,Promo
2024-03-17,Instagram,Positive,Makassar,19829,Text,@drinkculture | SwizzleSip,Behind the Scenes
2024-03-27,Instagram,Positive,Jakarta,14531,Carousel,@drinkculture | SwizzleSip,Review
2024-03-08,TikTok,Positive,Denpasar,6660,Text,@snackattack | SwizzleSip,Collab
2024-03-25,X/Twitter,Positive,Yogyakarta,14115,Carousel,@kulinerhits | SwizzleSip,Product Launch
2024-03-12,Instagram,Neutral,Bandung,3613,Text,@tastebuds.id | SwizzleSip,Behind the Scenes
2024-03-03,YouTube,Neutral,Medan,10409,Video,@kulinerhits | SwizzleSip,Review
2024-03-21,YouTube,Positive,Jakarta,14144,Image,@snackattack | SwizzleSip,Review
2024-03-31,Instagram,Positive,Jakarta,2184,Carousel,@genzfoodie | SwizzleSip,Review
2024-03-07,YouTube,Negative,Surabaya,14315,Carousel,@genzfoodie | SwizzleSip,Review
2024-03-12,Instagram,Negative,Makassar,14521,Text,@snackattack | SwizzleSip,Behind the Scenes
2024-03-30,Instagram,Neutral,Makassar,4659,Carousel,@genzfoodie | SwizzleSip,Product Launch
2024-03-14,TikTok,Neutral,Yogyakarta,18805,Carousel,@drinkculture | SwizzleSip,Review
2024-03-30,Instagram,Positive,Yogyakarta,9251,Image,@genzfoodie | SwizzleSip,Collab
2024-03-17,YouTube,Positive,Makassar,4970,Image,@kulinerhits | SwizzleSip,Collab
2024-03-22,Instagram,Positive,Denpasar,9605,Carousel,@drinkculture | SwizzleSip,Product Launch
2024-03-21,X/Twitter,Positive,Jakarta,12462,Text,@drinkculture | SwizzleSip,Product Launch
2024-03-05,Instagram,Neutral,Denpasar,5434,Text,@genzfoodie | SwizzleSip,Collab
2024-03-09,YouTube,Positive,Surabaya,6934,Image,@kulinerhits | SwizzleSip,Behind the Scenes
2024-03-24,X/Twitter,Negative,Makassar,1894,Video,@kulinerhits | SwizzleSip,Review
2024-03-11,Instagram,Positive,Surabaya,17977,Video,@tastebuds.id | SwizzleSip,Collab
2024-03-27,YouTube,Positive,Denpasar,19601,Image,@drinkculture | SwizzleSip,Collab
2024-03-22,YouTube,Negative,Bandung,13251,Text,@genzfoodie | SwizzleSip,Promo
2024-03-04,X/Twitter,Positive,Surabaya,7376,Text,@kulinerhits | SwizzleSip,Review
2024-03-22,X/Twitter,Positive,Yogyakarta,17019,Image,@genzfoodie | SwizzleSip,Product Launch
2024-03-12,YouTube,Positive,Yogyakarta,5948,Image,@kulinerhits | SwizzleSip,Product Launch
2024-03-19,YouTube,Positive,Medan,19387,Image,@genzfoodie | SwizzleSip,Behind the Scenes
2024-03-02,Instagram,Positive,Yogyakarta,11274,Video,@snackattack | SwizzleSip,Behind the Scenes
2024-03-06,X/Twitter,Neutral,Makassar,7224,Video,@snackattack | SwizzleSip,Behind the Scenes
2024-03-25,TikTok,Negative,Medan,12835,Text,@snackattack | SwizzleSip,Collab
2024-03-29,TikTok,Neutral,Bandung,11835,Carousel,@kulinerhits | SwizzleSip,Promo
2024-03-13,TikTok,Positive,Surabaya,2779,Video,@tastebuds.id | SwizzleSip,Promo
2024-03-15,X/Twitter,Neutral,Makassar,1101,Text,@snackattack | SwizzleSip,Promo
2024-03-09,X/Twitter,Neutral,Jakarta,17069,Video,@genzfoodie | SwizzleSip,Review
2024-03-18,X/Twitter,Neutral,Makassar,15569,Image,@tastebuds.id | SwizzleSip,Promo
2024-03-10,Instagram,Positive,Denpasar,8316,Text,@drinkculture | SwizzleSip,Collab
2024-03-10,TikTok,Neutral,Makassar,7075,Text,@snackattack | SwizzleSip,Promo
2024-03-08,TikTok,Neutral,Jakarta,10184,Carousel,@drinkculture | SwizzleSip,Promo
2024-03-03,Instagram,Negative,Bandung,19904,Carousel,@genzfoodie | SwizzleSip,Collab
2024-03-28,TikTok,Positive,Makassar,137,Text,@drinkculture | SwizzleSip,Collab
2024-03-28,X/Twitter,Positive,Surabaya,6336,Image,@drinkculture | SwizzleSip,Behind the Scenes
2024-03-15,YouTube,Positive,Bandung,3132,Video,@snackattack | SwizzleSip,Review
2024-03-12,TikTok,Positive,Makassar,1238,Image,@genzfoodie | SwizzleSip,Collab
2024-03-11,Instagram,Negative,Yogyakarta,10302,Text,@drinkculture | SwizzleSip,Collab
2024-03-18,X/Twitter,Positive,Bandung,2991,Image,@kulinerhits | SwizzleSip,Behind the Scenes
2024-03-10,YouTube,Neutral,Surabaya,4737,Carousel,@kulinerhits | SwizzleSip,Behind the Scenes
2024-03-11,TikTok,Positive,Jakarta,7779,Video,@genzfoodie | SwizzleSip,Product Launch
2024-03-30,YouTube,Positive,Yogyakarta,6808,Text,@tastebuds.id | SwizzleSip,Behind the Scenes
2024-03-30,X/Twitter,Positive,Bandung,4546,Carousel,@tastebuds.id | SwizzleSip,Behind the Scenes
2024-03-17,Instagram,Positive,Surabaya,18686,Carousel,@kulinerhits | SwizzleSip,Collab
2024-03-31,X/Twitter,Positive,Makassar,10937,Video,@tastebuds.id | SwizzleSip,Product Launch
